   Bytes Format Units   Label  Explanations
Eridanus 2          16  3 2017ApJ...838....8L
IC0342             181 16 1980MNRAS.191..169N
UGC02905            41 16 2005ApJS..160..149S
IC2038              92    2016LVG.HIPASS....K
NGC1533            250    2004AJ....128...16K
ESO483-013          74    2005MNRAS.361...34D
CamA                38  2 2008MNRAS.386.1667B
NGC1592             73    2005MNRAS.361...34D
NGC1569            101  3 2008AJ....136.2563W
UGCA092             56  2 2008MNRAS.386.1667B
NGC1560            119  8 1973MNRAS.165..213L
NGC1637            188    2005MNRAS.361...34D
CamB                21  2 2008MNRAS.386.1667B
NGC1705            111  6 1992AJ....103...60M
HIPASS J0457-42     58 10 2004AJ....128...16K
NGC1744            195    2004AJ....128...16K
ESO486-021          65    2005MNRAS.361...34D
NGC1800             66    2005MNRAS.361...34D
UGCA105            121 22 2005ApJS..160..149S
HIPASS J0517-32     65    2005MNRAS.361...34D
LMC                 65    2004AJ....127.2031K
UGC03303           158 22 1991A&AS...87..425R
ESO553-046          62    2005MNRAS.361...34D
KK49                55  2 2000A&AS..141..469H
Orion              118  4 2010AJ....139.2170C
GALFA Dw4           41    2012ApJ...758...44S
A0554+07            50  2 2003A&A...401..483H
KKH34               22  2 2008MNRAS.386.1667B
ESO364-029          76    2005MNRAS.361...34D
HIPASS J0607-34    127  4 2012MNRAS.420.2924K
NGC2188            112    2005MNRAS.361...34D
ESO121-020          47  4 2012MNRAS.420.2924K
LV J0616-5745       36  3 2006AJ....131.2056W
UGCA127            300    2004AJ....128...16K
WHI B0619-07       156  2 2007AJ....134.1849W
ESO489-056          24  1 2003A&A...401..483H
HIPASS J0630+08     33  4 2005AJ....129..220D
UGC03475           170    1981ApJS...47..139F
UGC03476            83 22 1992ApJS...81....5S
ESO490-017          39  2 2008MNRAS.386.1667B
CGMW1-260          195    2005MNRAS.361...34D
UGC03501            60    1979ApJ...231..327T
KK55                50  5 2012MNRAS.420.2924K
Carina              15  1 2017MNRAS.465.2420W
IC2171             107    2005MNRAS.361...34D
NGC2283            179    2004AJ....128...16K
KKSG9              182 18 2004AJ....128...16K
KKH37               17  2 2016MNRAS.456.2467P
KKH38               58    2001A&A...366..428K
UGC03600            82 22 1979ApJ...231..327T
HIZSS003B           28    2005MNRAS.359L..53B
HIZSS003            55    2005MNRAS.359L..53B
FG202               66  1 2012MNRAS.420.2924K
HIPASS J0705-20     29    2004AJ....128...16K
ESO558-011         125 18 2005MNRAS.361...34D
UGC03698            38  1 2003A&A...401..483H
NGC2337            147 22 1981ApJS...47..139F
UGC03755            34  2 2008MNRAS.386.1667B
UGC03817            35  1 2003A&A...401..483H
HIZSS008           136    2004AJ....128...16K
DDO043              36  2 2008MNRAS.386.1667B
NGC2366             99  0 1981ApJ...247..823T
HIZSS012           268    2004AJ....128...16K
ESO059-001          85  6 2012MNRAS.420.2924K
AGC174585           21  6 2011AJ....142..170H
HIZSS014            56    2004AJ....128...16K
Carina II            8  2 2018ApJ...857..145L
NGC2403            240 17 1986A&AS...66..505W
LV J0737+4724       39  4 2011MNRAS.417.1335P
Carina III          13  7 2018ApJ...857..145L
DDO046              74  5 2005ApJS..160..149S
DDO047              55    1996ApJS..105..269H
KK65                33  2 2008MNRAS.386.1667B
HIZSS021            85    2004AJ....128...16K
KKH40               27    2001A&A...366..428K
CGCG 262-028        75  5 2016A&A...596A..86P
AGC174605           24  2 2011AJ....142..170H
UGC04115            78  2 2008MNRAS.386.1667B
HIZOA J0800-36      29 11 2016AJ....151...52S
HIPASS J0801-21     56    2005MNRAS.361...34D
NGC2500            102    2005ApJS..160..149S
HIZSS033            61  8 2016AJ....151...52S
LV J0812+4836       47  8 2016A&A...596A..86P
NGC2537            100  0 1981ApJ...247..823T
IC2233             178    2005ApJS..160..149S
NGC2541            192    2005ApJS..160..149S
HolmII              64  0 1981ApJ...247..823T
NGC2552            130    2005ApJS..160..149S
ESO495-008          99    1998A&AS..130..333T
AGC188955           38  8 2011AJ....142..170H
KDG052              21  2 2008MNRAS.386.1667B
KUG 0821+321        50  4 2016ALFALFA.......A
CGMW2-3473          62    2005MNRAS.361...34D
DDO052              83  4 2005ApJS..160..149S
LV J0831+4104       25  6 2016A&A...596A..86P
DDO053              30  2 2008MNRAS.386.1667B
ESO495-021         117    2004AJ....128...16K
UGC04483            33  0 2003A&A...401..483H
AGC181604           26  3 2016ALFALFA.......A
LV J0843+4025       24 21 2016A&A...596A..86P
ESO496-010          61 18 2005MNRAS.361...34D
AGC182595           20  4 2011AJ....142..170H
UMa II              16  4 2017MNRAS.465.2420W
NGC2683            428  4 2005ApJS..160..149S
KK69                13  2 2008MNRAS.386.1667B
UGC04704           132    1981ApJS...47..139F
LV J0859+3923       31  7 2016A&A...596A..86P
LSBC D564-08        49  3 2003A&A...401..483H
ESO497-004          95    2005MNRAS.361...34D
HIPASS J0905-36     70    2005MNRAS.361...34D
UGC04787           130    1981ApJS...47..139F
KKH46               25  2 2003A&A...401..483H
LSBC D634-03        47 19 2011AJ....142..170H
DDO056              79 22 1981ApJS...47..139F
UGCA153            111    2005MNRAS.361...34D
LV J0913+1937       25    2012LVG.HI........K
AGC198507           37  3 2011AJ....142..170H
UGC04879            14    2011HI............C
HIPASS J0916-23b    40    2008AstL...34..832K
NGC2835            194    2005MNRAS.361...34D
NGC2787            358  0 1982A&A...110..121H
LSBC D565-06        14  4 2003A&A...401..483H
UGC04932           110    2005ApJS..160..149S
DDO062             124    2004AJ....128...16K
AGC198508           29  7 2011AJ....142..170H
ESO565-003          31  3 2001A&A...377..801H
UGC04998            89    1998A&AS..127..397v
LV J0926+3343       47  3 2010MNRAS.401..333P
NGC2915            153    2005MNRAS.361...34D
UGC05047           104    2012LVG.HI........K
KDG056              25  3 2003A&A...401..483H
NGC2903-HI-1        24  5 2009ApJ...692.1447I
NGC2903            366  4 2005ApJS..160..149S
ESO373-007          44    1990A&AS...86..473F
ESO373-008         210 18 2004AJ....128...16K
CGCG 035-007        89  4 2011AJ....142..170H
LeoT                15    2008MNRAS.384..535R
Antlia 2            13  2 2019MNRAS.488.2743T
LV J0939-2507       56    2011LVG.HIPASS....K
KISSB023            77 10 2007A&A...464..859P
KDG058              28  5 2018ApJ...861...49H
HolmI               29  0 2003A&A...401..483H
UGC05186            42    2004AJ....127.2031K
AGC198691           33  2 2016ApJ...822..108H
IC0559              67  3 2011AJ....142..170H
UGC05209            32  2 2008MNRAS.386.1667B
RKK1610             62  6 2016AJ....151...52S
NGC2976             91  4 1981MNRAS.195..327A
AGC191803           55  4 2011AJ....142..170H
Antlia B            17  4 2015ApJ...812L..13S
KK78                20    1999PhDT........27S
DDO064              84  2 1996ApJS..105..269H
UGC05288            93  2 2011AJ....142..170H
NGC3037             91    2004AJ....128...16K
BK3N                15    2004AJ....127.2031K
LV J0954+3620       35    2011HI............P
KKSG15              54  3 2001A&A...377..801H
MESSIER081         423  6 1978ApJ...223..391D
MESSIER082         147  4 1981MNRAS.195..327A
LV J0956-0929       51    2015LVG.HIPASS....K
DDO068C             14    2014ApJ...787L...1C
DDO068              74  8 1985ApJS...59..161L
A0952+69            48    2003MNRAS.342..738L
HolmIX              50  4 1981MNRAS.195..327A
AGC718245           15  3 2016ALFALFA.......A
[CKT2009]d0958+66   22    2011HI............R
AGC198712           36  5 2016ALFALFA.......A
LeoA                19  0 2003A&A...401..483H
SexB                38  0 2003A&A...401..483H
LV J1000+3032       20    2011HI............P
MCG -01-26-009      38    2005MNRAS.361...34D
KKSG17              49  3 2003A&A...401..483H
UGCA193            123 18 2004AJ....128...16K
NGC3109            117 18 2004AJ....128...16K
NGC3077             70  4 1981MNRAS.195..327A
ESO499-038          77    2004AJ....128...16K
NGC3104            102    2005ApJS..160..149S
Antlia              22  1 2003A&A...401..483H
UGC05427            71 16 1990ApJS...72..245S
KDG063              19  1 2003A&A...401..483H
NGC3115            238    2004AJ....127.2031K
UGC05423            44  1 2003A&A...401..483H
Segue 1              9  3 2011ApJ...733...46S
UGC05456            62  2 2008MNRAS.386.1667B
KKH58               83    2001A&A...366..428K
LeoI                22  1 2017MNRAS.465.2420W
AGC208477           22  5 2016ALFALFA.......A
PGC1099440         100    2017LVG.HI........K
SexA                46    2004AJ....128...16K
UGC05497            16    2011HI............R
SexDSph             19  1 2017MNRAS.465.2420W
LV J1017+2922       49 11 2016ALFALFA.......A
NGC3184            128    1985A&A...143..216H
UGC05571            51  8 2009AJ....138.1938C
HIJASS J1021+6842   50    2001ApJ...560L.127B
HS117               13    2004AJ....127.2031K
LV J1021+0054       42  3 2016ALFALFA.......A
LeoP                16    2013AAS...22135207B
AGC731448           39  4 2011AJ....142..170H
KKSG19              30  1 2003A&A...401..483H
NGC3239            160    1981ApJS...47..139F
UGC05672            82 16 1986AJ.....91..705B
IC2574             107  4 1981MNRAS.195..327A
[CKT2009]d1028+70   20    2011HI............R
AGC749315           31 11 2011AJ....142..170H
DDO082              27    2012AJ....144..123O
LV J1030+0607       27  3 2011AJ....142..170H
AGC731457           36  6 2011AJ....142..170H
NGC3274            160  2 2011AJ....142..170H
UMa I               19  5 2017MNRAS.465.2420W
AGC202248           62 12 2011AJ....142..170H
ESO501-023          63    2005MNRAS.361...34D
LeG03               70  2 2011AJ....142..170H
NGC3299            112  2 2011AJ....142..170H
DDO083             106    2005ApJS..160..149S
AGC205165           27  7 2011AJ....142..170H
AGC200499          178  3 2011AJ....142..170H
AGC208397           33  8 2011AJ....142..170H
UGC05797            48    2005MNRAS.361...34D
LeG05               22  5 2009AJ....138..338S
LeG06               21  6 2011AJ....142..170H
AGC208399           31    2015AJ....149...72C
UGC05812            56  3 2011AJ....142..170H
FS04                36  7 2011AJ....142..170H
DDO084              74    2005ApJS..160..149S
ESO376-016          41    2005MNRAS.361...34D
NGC3344            157  2 2011AJ....142..170H
NGC3351            270  2 2011AJ....142..170H
LeG13               24  6 2011AJ....142..170H
LeG17               37  4 2009AJ....138..338S
NGC3368            343  3 2011AJ....142..170H
LeG18               38  4 2011AJ....142..170H
KK94                35  3 2003A&A...401..483H
LeG21               23  2 2009AJ....138..338S
DDO088              43  2 2003A&A...401..483H
ESO318-013          54    2005MNRAS.361...34D
BST1047+1156        21  2 2018ApJ...863L...7M
UGC05923           142  6 2011AJ....142..170H
Willman1            10  4 2007MNRAS.380..281M
DDO087              66  6 1998A&AS..127..269H
MRK1265             30  4 2016ALFALFA.......A
AGC740112           37  9 2016ALFALFA.......A
NGC3413            142    2012LVG.HI........K
NGC3432            248    1981ApJS...47..139F
KDG073              18  1 2003A&A...401..483H
UGC06014            94  3 2011AJ....142..170H
LSBC D640-12        22  4 2009AJ....138..338S
LSBC D640-13        30  4 2011AJ....142..170H
HS1053+3624         60  4 2016ALFALFA.......A
ESO215-009          65  1 2012MNRAS.420.2924K
CGCG 095-078        77  8 2016ALFALFA.......A
AGC205278           36  8 2011AJ....142..170H
NGC3489            113 13 2011AJ....142..170H
SMDG1103517+284120  26  3 2020ApJ...902...39K
CGCG 066-109        44  3 2011AJ....142..170H
KKSG20              25    2004MNRAS.352..478R
MRK0036             41    2005ApJS..160..149S
UGC06145            41  2 2008MNRAS.386.1667B
NGC3521            441    2005MNRAS.361...34D
NGC3556            308    1985A&A...143..216H
DDO092              45    1981ApJS...47..139F
LeoII               15  3 2017MNRAS.465.2420W
AGC215282           27  6 2018ApJ...861...49H
NGC3593            254  7 2011AJ....142..170H
AGC202256           42  4 2011AJ....142..170H
AGC740666           41  6 2016ALFALFA.......A
IC2684              25  4 2011AJ....142..170H
NGC3621            271 18 2004AJ....128...16K
NGC3623            493  4 2018ApJ...861...49H
AGC215286           28  2 2018ApJ...861...49H
AGC202257           51  2 2018ApJ...861...49H
NGC3627            369  3 2011AJ....142..170H
NGC3628            458  3 2018ApJ...861...49H
AGC215414           27  4 2018ApJ...861...49H
IC2787              49    2009AJ....138..338S
IC2791              22  7 2011AJ....142..170H
AGC215415           19  5 2018ApJ...861...49H
UGC06456            37  2 2008MNRAS.386.1667B
KDG078              26  4 2003A&A...401..483H
KKH68               22  3 2011AJ....142..170H
LeoV                 9  4 2009ApJ...694L.144W
HIPASS J1131-31     30    2012HI............K
LeoIV                8  4 2007ApJ...670..313S
HIPASS J1133-32     30    2004MNRAS.350.1195M
UGC06541            26  2 2008MNRAS.386.1667B
AGC215248           19  6 2018ApJ...861...49H
KKH69               22  2 2011AJ....142..170H
NGC3738             78 22 1986A&AS...63..323H
NGC3741             83  2 2008MNRAS.386.1667B
Crater               5  4 2016MNRAS.460.3384V
ESO320-014          40    2005MNRAS.361...34D
KK109               18  2 2008MNRAS.386.1667B
DDO097              86  2 2011AJ....142..170H
Crater 2             6  1 2017ApJ...841...66C
HIZOA J1149-62      25  9 2016AJ....151...52S
KKH73               20  6 2007AstL...33..512K
DDO099              34  2 2008MNRAS.386.1667B
AGC215145           32  2 2011AJ....142..170H
ESO379-007          28  2 2008MNRAS.386.1667B
UGC06881            90 14 1992MNRAS.258..334S
KDG81               37    2001A&A...366..428K
MCG +05-28-046      81  4 2016ALFALFA.......A
KDG082             100  4 1990ApJS...72..245S
ESO572-034          67    2005MNRAS.361...34D
KUG 1157+315        88  6 2016ALFALFA.......A
NGC4068             54  2 2005ApJS..160..149S
NGC4080            147  6 2011AJ....142..170H
ESO379-024          28    2004MNRAS.350.1195M
IC2992              46    2011HI............G
KUG 1202+286        48  4 2016ALFALFA.......A
LV J1205+2813       62  3 2016ALFALFA.......A
LV J1207+3133       31  4 2016ALFALFA.......A
UGC07131           117  1 1990ApJS...72..245S
NGC4136             92    1999A&AS..135..255K
NGC4144            153  8 2005ApJS..160..149S
IC3023              44  1 2011AJ....142..170H
NGC4163             32 22 1986A&AS...63..323H
KK127               64  6 2000A&AS..141..469H
NGC4190             49 22 1986A&AS...63..323H
AGC732009           44  9 2016ALFALFA.......A
ESO321-014          19  2 2008MNRAS.386.1667B
UGC07242            66  2 2008MNRAS.386.1667B
VCC0114             34  2 2011AJ....142..170H
UGC7257             89  9 1996ApJS..105..269H
NGC4204             88    1981ApJS...47..139F
UGC07267           117    1981ApJS...47..139F
UGC07271           105    1981ApJS...47..139F
NGC4214             61 22 1985A&A...143..216H
MCG +09-20-131      27  2 2008MNRAS.386.1667B
VCC0169             24  1 2011AJ....142..170H
IC3077              51 11 2011AJ....142..170H
UGC07298            21  2 2008MNRAS.386.1667B
NGC4236            154  6 1978ApJ...223..391D
UGC07320            55    2009MNRAS.400..743K
NGC4244            170    2009MNRAS.400..743K
NGC4242            108    2009MNRAS.400..743K
UGC7321            219    1981ApJS...47..139F
NGC4248             66    1977A&A....61..297v
AGC229053           40  4 2011AJ....142..170H
IC3104              40 18 2004AJ....128...16K
NGC4258            421  7 1987MNRAS.224..953S
PGC039646           35 18 2011AJ....142..170H
KK133               51    2009MNRAS.400..743K
VCC0381             23  3 2011AJ....142..170H
PGC39764           383 17 2017ALFALFA...0000:
NGC4288            154    2009MNRAS.400..743K
CVnHI               20    2009MNRAS.400..743K
VCC0429             29  2 2011AJ....142..170H
KUG 1218+387        30    2009MNRAS.400..743K
DDO120              37    2009MNRAS.400..743K
KDG104              24  9 2011AJ....142..170H
KDG105              40  2 2003A&A...401..483H
UGC7427             32    2009MNRAS.400..743K
KKSG27              20  1 2001A&A...377..801H
GR34                25  6 2011AJ....142..170H
VCC0565             28  7 2011AJ....142..170H
KK141               26  2 2003A&A...401..483H
IC3247             157    2005ApJS..160..149S
BTS133              29    2009MNRAS.400..743K
PGC5059199          98  7 2017ALFALFA...0000:
UGC07485            34  2 2017ALFALFA...0000:
IC3308             125  2 2008MNRAS.386.1667B
KK144               38  2 2008MNRAS.386.1667B
UGC07512            65    1996ApJS..105..269H
AGC749236           53  2 2016ALFALFA.......A
VCC0841             39  6 2011AJ....142..170H
NGC4395             98    2009MNRAS.400..743K
DDO123              58    1981ApJS...47..139F
UGCA281             47  0 1981ApJ...247..823T
IC3341              65  2 2011AJ....142..170H
ComaI               11  2 2017MNRAS.465.2420W
DDO126              50    2009MNRAS.400..743K
DDO125              27  2 2008MNRAS.386.1667B
UGC07584            35  1 2003A&A...401..483H
KKH80               16  2 2003A&A...401..483H
NGC4449             98    2009MNRAS.400..743K
DDO127              54    2009MNRAS.400..743K
UGC07596            27 12 2011AJ....142..170H
UGC07605            26  2 2008MNRAS.386.1667B
NGC4455            108    2005ApJS..160..149S
DDO129              43    2009MNRAS.400..743K
NGC4460             90    2009MNRAS.400..743K
KK149               54    2009MNRAS.400..743K
UGC07639            39  7 1982MNRAS.201.1073A
UGC07636            25    1990ApJS...72..245S
UGC07642            36  2 2017ALFALFA...0000:
KK151               34  2 2003A&A...401..483H
NGC4485            139    2009MNRAS.400..743K
AGC229379           22  6 2016ALFALFA.......A
NGC4490            173    2009MNRAS.400..743K
AGC724906           22  3 2011AJ....142..170H
CGCG 014-054        44 10 1992A&AS...96..435G
MAPS1231+42         16    2009MNRAS.400..743K
DDO131              63    1999A&AS..135..255K
UGC07678            63    2009AJ....138.1938C
Coma P              28  2 2018ApJ...861...49H
UGC07690            71    2009MNRAS.400..743K
AGC229089           30  5 2017ALFALFA...0000:
NGC4517            307    2005MNRAS.361...34D
UGC07699           171    2009MNRAS.400..743K
DDO133              57  2 2016ALFALFA.......A
NGC4509             49    2009MNRAS.400..743K
BTS142              23  4 2009A&A...506..677H
KDG155              43 18 2005MNRAS.361...34D
KK152               34  3 2003A&A...401..483H
PGC041749           32    2009MNRAS.400..743K
UGC7719             57    2009MNRAS.400..743K
NGC4534            110    2009MNRAS.400..743K
UGC07748            46    1992ApJS...81....5S
UGC7751             41  9 1992ApJS...81....5S
LV J1235-1104       55    2011LVG.HIPASS....K
NGC4559            237  2 2011AJ....142..170H
UGC07774           183    2009MNRAS.400..743K
VCC1675             33 11 2011AJ....142..170H
IC3583             105  1 2011AJ....142..170H
MAPS1236+33         30    2009MNRAS.400..743K
IC3591              86  4 2011AJ....142..170H
AGC220847           44  2 2017ALFALFA...0000:
KKSG29              30  2 2009A&A...506..677H
Arp211              27  2 2003A&A...401..483H
VCC1713             26  3 2011AJ....142..170H
KKSG30              36  2 2001A&A...377..801H
VCC1725             76  8 2011AJ....142..170H
AGC724993           37  3 2018ApJ...861...49H
UGCA292             27  0 2003A&A...401..483H
NGC4592            199    2004AJ....128...16K
UGC07827            44    1991ApJS...77..331H
KDG177              30  1 2011AJ....142..170H
NGC4594            736 33 1977ApJ...214..383F
NGC4605            132 17 1994A&AS..107..129B
AGC749241           18  2 2011AJ....142..170H
BTS146              27    2009MNRAS.400..743K
SUCD1               59 13 2009MNRAS.394L..97H
KDG178              52  3 2017ALFALFA...0000:
VCC1822             23  3 2011AJ....142..170H
NGC4597            163    2004AJ....128...16K
NGC4618             90    2009MNRAS.400..743K
AGC224291           24  5 2017ALFALFA...0000:
LV J1241+3251       27    2009MNRAS.400..743K
NGC4625             51    2009MNRAS.400..743K
NGC4631            277    1999A&AS..135..255K
IC3687              36    2009MNRAS.400..743K
PGC42772            43  3 2017ALFALFA...0000:
KDG192              69  8 1992MNRAS.258..334S
LV J1243+4127       16  2 2009A&A...506..677H
KK160               22  1 2003A&A...401..483H
NGC4656            146    2009MNRAS.400..743K
NGC4656UV           70    2016ApJ...823...19C
DDO143              50    2009MNRAS.400..743K
UGCA294             60    1981ApJ...247..823T
ESO381-018          28    2004MNRAS.350.1195M
IC3718              71  1 2011AJ....142..170H
ESO381-020          78  2 2012MNRAS.420.2924K
AGC227970           42  3 2018ApJ...861...49H
VCC2033             23  6 2011AJ....142..170H
VCC2037             29  3 2011AJ....142..170H
UGCA298             65  5 2011AJ....142..170H
UGC07950            57    1986A&AS...63..323H
DDO147              30  0 2003A&A...401..483H
FGC1497             91    2000A&AS..143..421M
Dw1247-0824         94    2022LVG.HIPASS....K
HIPASS J1247-77     32 18 2004AJ....128...16K
NGC4688             46  2 2011AJ....142..170H
KK164               42  1 2011AJ....142..170H
NGC4707             67    1981ApJS...47..139F
DDO148              43    2005MNRAS.361...34D
NGC4700            123    2005MNRAS.361...34D
MAPS1249+44         36    2009MNRAS.400..743K
LV J1249+2155       27  3 2017ALFALFA...0000:
UGC07983            28  2 2011AJ....142..170H
UGC07990            87    1990ApJS...72..245S
NGC4736            207    2005ApJS..160..149S
BTS157              18  4 2009A&A...506..677H
KK167               37  2 2011AJ....142..170H
IC3840              33    2000ApJS..131...47E
NGC4765             77  2 2011AJ....142..170H
KKSG38              44  4 2001A&A...377..801H
KKSG39              16  3 2001A&A...377..801H
DDO153              68    2004AJ....128...16K
DDO154              80  2 2011AJ....142..170H
UGC08030            53  2 2011AJ....142..170H
ESO443-009          29  2 2003A&A...401..483H
KDG215              25  8 1997ApJS..111..233S
AGC221126           48  2 2018ApJ...861...49H
UGC08061            56  6 2011AJ....142..170H
NGC4826            302  8 2005ApJS..160..149S
CVnII               11  2 2017MNRAS.465.2420W
MCG-02-33-075       53    2004MNRAS.350.1195M
GR8                 26  2 2008MNRAS.386.1667B
HIPASS J1258-04     46    2004MNRAS.350.1195M
[KK98]175           27  2 2018ApJ...861...49H
NGC4861            103    1999A&AS..135..255K
KK176               37  1 2003A&A...401..483H
UGC08105            37  3 2017ALFALFA...0000:
UGCA319             94    2004AJ....128...16K
DDO161             113    2005MNRAS.361...34D
ESO269-037          15  3 2006PhD...........B
KK182               33    2004AJ....128...16K
NGC4945            361 18 2004AJ....128...16K
IC4182              35  6 1978ApJ...223..391D
